center     color diametemass
plain      blue     13.10.83
plain      orange  13.720.93
plain      green   13.220.79
plain      brown   12.950.83
plain      brown    13.10.87
plain      brown   13.46 0.8
plain      red     13.790.88
plain      blue    13.480.78
plain      blue    13.420.88
plain      brown   13.310.84
plain      green   11.230.73
plain      red     13.550.89
plain      brown   13.220.83
plain      blue    13.160.83
plain      blue    13.130.82
plain      brown   12.980.84
plain      orange  13.090.83
plain      blue    12.870.79
plain      yellow  12.850.82
plain      yellow  13.030.89
plain      brown   13.470.88
plain      green   13.430.85
plain      brown   12.950.83
plain      yellow   13.30.89
plain      yellow  13.120.86
plain      yellow  13.410.84
plain      orange     130.86
plain      blue    13.220.87
plain      green   12.150.85
plain      brown   13.250.88
plain      blue     13.60.87
plain      red     13.420.85
plain      blue    12.850.78
plain      red     12.710.83
plain      blue    13.08 0.8
plain      blue    13.180.89
plain      brown   13.060.85
plain      orange  13.370.86
plain      yellow  13.120.86
plain      brown   13.240.86
plain      brown   12.980.82
plain      red     13.290.83
plain      yellow  13.160.82
plain      yellow  13.510.87
plain      yellow  13.120.81
plain      orange  13.210.83
plain      red     13.030.83
plain      red      12.80.78
plain      red     13.180.87
plain      orange  13.220.92
plain      red     12.940.78
plain      orange  13.21 0.9
plain      orange  13.320.84
plain      red     13.220.86
plain      red     13.010.82
plain      red     13.240.84
plain      red     13.380.86
peanut     orange  14.762.38
peanut     yellow  14.242.37
peanut     red     13.012.56
peanut     yellow   14.72.52
peanut     green   15.542.85
peanut     yellow  13.492.45
peanut     brown   14.192.62
peanut     orange  13.142.64
peanut     blue    13.96 2.6
peanut     yellow  13.392.26
peanut     brown   13.742.46
peanut     orange  15.533.02
peanut     yellow  14.352.21
peanut     orange  14.672.68
peanut     brown   15.342.72
peanut     blue    14.732.69
peanut     orange   13.72.36
peanut     red     14.172.45
peanut     red     15.282.89
peanut     brown   15.022.47
peanut     brown   15.482.52
peanut     orange  14.332.16
peanut     brown   13.452.07
peanut     red     13.772.21
peanut     blue    15.812.78
peanut     red     15.232.27
peanut     yellow  15.622.91
peanut     orange   16.73.62
peanut     green   14.672.32
peanut     red      14.5 2.4
peanut     brown   15.03 2.6
peanut     red     14.912.75
peanut     yellow  15.633.02
peanut     green    15.12.44
peanut     blue    13.432.07
peanut     yellow  14.022.32
peanut     green   14.312.09
peanut     blue    14.192.66
peanut     red      14.62.56
peanut     yellow  14.19 2.2
peanut     green   13.71 2.4
peanut     blue    14.782.56
peanut     orange   14.32.68
peanut     brown   14.182.55
peanut     yellow  14.312.58
peanut     green    13.92.42
peanut     blue     17.12.63
peanut     yellow  14.842.47
peanut     blue    13.382.46
peanut     red     14.332.56
peanut     orange  14.22 2.2
peanut     blue    14.432.65
peanut     yellow  13.932.06
peanut     red     15.622.47
peanut     blue    15.713.27
peanut     yellow  15.322.97
peanut     red     15.432.83
peanut     brown   15.113.11
peanut     green   14.742.47
peanut     orange  13.732.37
peanut     orange   16.23.15
peanut     green   14.262.18
peanut     yellow  13.692.77
peanut     orange  14.412.28
peanut     green   15.933.01
peanut     orange  12.452.06
peanut     red     13.77   2
peanut     brown   15.672.75
peanut     orange  15.412.69
peanut     green   15.342.78
peanut     brown   14.432.31
peanut     brown    13.82.66
peanut     green   16.162.68
peanut     yellow  14.642.34
peanut     blue    13.131.96
peanut     yellow  15.763.37
peanut     red     16.062.59
peanut     blue    15.693.06
peanut     red     14.222.36
peanut     blue    14.122.22
peanut     orange  15.642.51
peanut     orange  13.442.52
peanut     yellow  13.622.54
peanut     blue    12.842.07
peanut     yellow  16.282.58
peanut     brown   15.012.72
peanut     green   15.352.96
peanut     green   14.852.89
peanut     green   14.05 2.3
peanut     green   17.063.09
peanut     green   14.432.61
peanut     brown   14.792.66
peanut     green   14.542.74
peanut     blue    14.592.51
peanut     green   13.112.28
peanut     red     14.693.07
peanut     yellow  14.322.95
peanut     blue    15.372.64
peanut     orange  13.992.53
peanut     green   16.363.48
peanut     red      16.93.14
peanut     red      16.1 2.9
peanut     blue    14.322.56
peanut     blue    15.81 2.2
peanut     orange  14.442.28
peanut     orange  15.792.69
peanut     brown   14.16 2.7
peanut     green   14.352.34
peanut     yellow  14.192.43
peanut     blue    13.782.19
peanut     orange  15.612.64
peanut     yellow  13.972.37
peanut     yellow   13.62.24
peanut     green   15.182.85
peanut     orange  15.132.83
peanut     yellow   15.33.14
peanut     yellow  13.451.93
peanut     orange  15.61 2.9
peanut     brown   16.132.68
peanut     blue    15.313.06
peanut     blue    14.562.79
peanut     orange  14.132.42
peanut     blue    17.883.57
peanut     yellow  14.812.51
peanut     blue    16.273.25
peanut     orange  14.912.76
peanut     brown   14.762.33
peanut     orange  14.452.31
peanut     brown   15.01 2.5
peanut     orange  14.712.58
peanut     brown   14.212.28
peanut     orange  12.671.97
peanut     blue    15.47 2.6
peanut     blue       142.48
peanut     green    15.92.83
peanut     brown   15.292.96
peanut     blue    13.972.01
peanut     brown   14.882.47
peanut     green   16.733.08
peanut     red      16.6 3.2
peanut     green   15.142.81
peanut     orange  14.04 2.5
peanut     brown   13.622.17
peanut     brown   15.812.83
peanut     green   16.053.08
peanut     orange  15.052.81
peanut     blue    14.352.01
peanut     yellow  14.312.76
peanut     red     15.892.63
peanut     green   15.482.81
peanut     green   14.082.59
peanut     red     15.222.69
peanut     yellow  16.333.04
